id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_above,sqft_basement,yr_built,lat,long,sqft_living15
7129300520,20141013T000000,221900,3,1,1180,5650,1,3,7,1180,0,1955,47.5112,-122.257,1340
6414100192,20141209T000000,538000,3,2.25,2570,7242,2,3,7,2170,400,1951,47.721,-122.319,1690
5631500400,20150225T000000,180000,2,1,770,10000,1,3,6,770,0,1933,47.7379,-122.233,2720
2487200875,20141209T000000,604000,4,3,1960,5000,1,5,7,1050,910,1965,47.5208,-122.393,1360
1954400510,20150218T000000,510000,3,2,1680,8080,1,3,8,1680,0,1987,47.6168,-122.045,1800
7237550310,20140512T000000,1.23E+06,4,4.5,5420,101930,1,3,11,3890,1530,2001,47.6561,-122.005,4760
1321400060,20140627T000000,257500,3,2.25,1715,6819,2,3,7,1715,0,1995,47.3097,-122.327,2238
2008000270,20150115T000000,291850,3,1.5,1060,9711,1,3,7,1060,0,1963,47.4095,-122.315,1650
2414600126,20150415T000000,229500,3,1,1780,7470,1,3,7,1050,730,1960,47.5123,-122.337,1780
3793500160,20150312T000000,323000,3,2.5,1890,6560,2,3,7,1890,0,2003,47.3684,-122.031,2390
1736800520,20150403T000000,662500,3,2.5,3560,9796,1,3,8,1860,1700,1965,47.6007,-122.145,2210
9212900260,20140527T000000,468000,2,1,1160,6000,1,4,7,860,300,1942,47.69,-122.292,1330
114101516,20140528T000000,310000,3,1,1430,19901,1.5,4,7,1430,0,1927,47.7558,-122.229,1780
6054650070,20141007T000000,400000,3,1.75,1370,9680,1,4,7,1370,0,1977,47.6127,-122.045,1370
1175000570,20150312T000000,530000,5,2,1810,4850,1.5,3,7,1810,0,1900,47.67,-122.394,1360
9297300055,20150124T000000,650000,4,3,2950,5000,2,3,9,1980,970,1979,47.5714,-122.375,2140
1875500060,20140731T000000,395000,3,2,1890,14040,2,3,7,1890,0,1994,47.7277,-121.962,1890
6865200140,20140529T000000,485000,4,1,1600,4300,1.5,4,7,1600,0,1916,47.6648,-122.343,1610
16000397,20141205T000000,189000,2,1,1200,9850,1,4,7,1200,0,1921,47.3089,-122.21,1060
7983200060,20150424T000000,230000,3,1,1250,9774,1,4,7,1250,0,1969,47.3343,-122.306,1280
6300500875,20140514T000000,385000,4,1.75,1620,4980,1,4,7,860,760,1947,47.7025,-122.341,1400
2524049179,20140826T000000,2.00E+06,3,2.75,3050,44867,1,3,9,2330,720,1968,47.5316,-122.233,4110
7137970340,20140703T000000,285000,5,2.5,2270,6300,2,3,8,2270,0,1995,47.3266,-122.169,2240
8091400200,20140516T000000,252700,2,1.5,1070,9643,1,3,7,1070,0,1985,47.3533,-122.166,1220
3814700200,20141120T000000,329000,3,2.25,2450,6500,2,4,8,2450,0,1985,47.3739,-122.172,2200
1202000200,20141103T000000,233000,3,2,1710,4697,1.5,5,6,1710,0,1941,47.3048,-122.218,1030
1794500383,20140626T000000,937000,3,1.75,2450,2691,2,3,8,1750,700,1915,47.6386,-122.36,1760
3303700376,20141201T000000,667000,3,1,1400,1581,1.5,5,8,1400,0,1909,47.6221,-122.314,1860
5101402488,20140624T000000,438000,3,1.75,1520,6380,1,3,7,790,730,1948,47.695,-122.304,1520
1873100390,20150302T000000,719000,4,2.5,2570,7173,2,3,8,2570,0,2005,47.7073,-122.11,2630
8562750320,20141110T000000,580500,3,2.5,2320,3980,2,3,8,2320,0,2003,47.5391,-122.07,2580
2426039314,20141201T000000,280000,2,1.5,1190,1265,3,3,7,1190,0,2005,47.7274,-122.357,1390
461000390,20140624T000000,687500,4,1.75,2330,5000,1.5,4,7,1510,820,1929,47.6823,-122.368,1460
7589200193,20141110T000000,535000,3,1,1090,3000,1.5,4,8,1090,0,1929,47.6889,-122.375,1570
7955080270,20141203T000000,322500,4,2.75,2060,6659,1,3,7,1280,780,1981,47.4276,-122.157,2020
9547205180,20140613T000000,696000,3,2.5,2300,3060,1.5,3,8,1510,790,1930,47.6827,-122.31,1590
9435300030,20140528T000000,550000,4,1,1660,34848,1,1,5,930,730,1933,47.6621,-122.132,2160
2768000400,20141230T000000,640000,4,2,2360,6000,2,4,8,2360,0,1904,47.6702,-122.362,1730
7895500070,20150213T000000,240000,4,1,1220,8075,1,2,7,890,330,1969,47.3341,-122.282,1290
2078500320,20140620T000000,605000,4,2.5,2620,7553,2,3,8,2620,0,1996,47.5301,-122.18,2620
5547700270,20140715T000000,625000,4,2.5,2570,5520,2,3,9,2570,0,2000,47.6145,-122.027,2470
7766200013,20140811T000000,775000,4,2.25,4220,24186,1,3,8,2600,1620,1984,47.445,-122.347,2410
7203220400,20140707T000000,861990,5,2.75,3595,5639,2,3,9,3595,0,2014,47.6848,-122.016,3625
9270200160,20141028T000000,685000,3,1,1570,2280,2,3,7,1570,0,1922,47.6413,-122.364,1580
1432701230,20140729T000000,309000,3,1,1280,9656,1,4,6,920,360,1959,47.4485,-122.175,1340
8035350320,20140718T000000,488000,3,2.5,3160,13603,2,3,8,3160,0,2003,47.7443,-121.977,3050
8945200830,20150325T000000,210490,3,1,990,8528,1,3,6,990,0,1966,47.3066,-122.371,1228
4178300310,20140716T000000,785000,4,2.5,2290,13416,2,4,9,2290,0,1981,47.6194,-122.151,2680
9215400105,20150428T000000,450000,3,1.75,1250,5963,1,4,7,1250,0,1953,47.6796,-122.301,970
822039084,20150311T000000,1.35E+06,3,2.5,2753,65005,1,5,9,2165,588,1953,47.4041,-122.451,2680
5245600105,20140916T000000,228000,3,1,1190,9199,1,3,7,1190,0,1955,47.4258,-122.322,1190
7231300125,20150217T000000,345000,5,2.5,3150,9134,1,4,8,1640,1510,1966,47.4934,-122.189,1990
7518505990,20141231T000000,600000,3,1.75,1410,4080,1,4,7,1000,410,1950,47.6808,-122.384,1410
3626039271,20150205T000000,585000,2,1.75,1980,8550,1,3,7,990,990,1981,47.6989,-122.369,1480
4217401195,20150303T000000,920000,5,2.25,2730,6000,1.5,3,8,2130,600,1927,47.6571,-122.281,2730
